group,ticker,company,industry,filing_date,p_m1,p_0,p_p1,p_p5,p_p15,avg_vol_before,avg_vol_after,vol_ratio,pct_1d,pct_5d,pct_15d,abs_1d,abs_5d,abs_15d,classification,flagged,vol_spike_2x
No,USAU,U.S. GOLD CORP.,Mining,2026-05-22,15.27,15.48,15.88,15.795,16.12,5956.7,8306.066666666668,1.3944074179775157,3.9947609692207022,3.4381139489194523,5.566470203012452,3.9947609692207022,3.4381139489194523,5.566470203012452,INSTANT,False,False
No,REA,"Rare Earths Americas, Inc.",Mining,2026-06-16,17.49,17.08,17.75,15.31,12.67,4326.6,5445.466666666666,1.2586018274549682,1.4865637507147031,-12.464265294453963,-27.558604917095476,1.4865637507147031,12.464265294453963,27.558604917095476,GRADUAL,False,False
No,EPSN,Epsilon Energy Ltd.,Mining,2026-05-20,6.48,6.205,6.23,5.84,5.66,15267.7,8701.466666666667,0.5699264896917458,-3.8580246913580245,-9.876543209876552,-12.654320987654325,3.8580246913580245,9.876543209876552,12.654320987654325,GRADUAL,False,False
No,EPSN,Epsilon Energy Ltd.,Mining,2026-06-18,5.39,5.3,5.21,5.42,5.43,7358.3,11211.2,1.5236127909979207,-3.339517625231906,0.5565862708719899,0.7421150278293143,3.339517625231906,0.5565862708719899,0.7421150278293143,FLAT/NONE,False,False
No,FUSB,"FIRST US BANCSHARES, INC.",Fintech,2026-04-29,15.39,15.39,15.39,15.39,15.945,40.6,68.2,1.6798029556650247,0.0,0.0,3.6062378167641302,0.0,0.0,3.6062378167641302,FLAT/NONE,False,False
No,BWFG,"Bankwell Financial Group, Inc.",Fintech,2026-04-22,51.34,49.98,50.265,52.525,50.62,1092.2,1948.7333333333333,1.78422755295123,-2.0938839111803715,2.3081417997662546,-1.402415270744071,2.0938839111803715,2.3081417997662546,1.402415270744071,FLAT/NONE,False,False
No,FINW,Finwise Bancorp,Fintech,2026-06-29,15.27,14.905,14.24,14.075,13.535,455.5,1161.8666666666666,2.55075009147457,-6.745252128356249,-7.825802226588083,-11.362148002619513,6.745252128356249,7.825802226588083,11.362148002619513,GRADUAL,True,True
No,USCB,"USCB FINANCIAL HOLDINGS, INC.",Fintech,2026-06-01,18.45,18.22,18.55,18.84,19.69,2374.7,1434.0,0.6038657514633428,0.5420054200542083,2.113821138211385,6.7208672086720975,0.5420054200542083,2.113821138211385,6.7208672086720975,GRADUAL,False,False
No,LPRO,Open Lending Corp,Fintech,2026-06-09,2.1,2.11,2.11,3.11,3.105,59937.9,286127.5333333333,4.773733035914393,0.476190476190466,48.09523809523809,47.85714285714285,0.476190476190466,48.09523809523809,47.85714285714285,GRADUAL,True,True
No,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.",Fintech,2026-05-05,9.825,9.95,10.24,9.6,9.71,547.0,894.0,1.6343692870201096,4.223918575063623,-2.2900763358778593,-1.1704834605597805,4.223918575063623,2.2900763358778593,1.1704834605597805,FLAT/NONE,False,False
No,PKBK,"PARKE BANCORP, INC.",Fintech,2026-05-22,31.16,31.49,31.49,30.7,31.72,4372.3,3894.733333333333,0.8907744970229245,1.059050064184847,-1.476251604621312,1.7971758664955029,1.059050064184847,1.476251604621312,1.7971758664955029,FLAT/NONE,False,False
No,BRBS,"BLUE RIDGE BANKSHARES, INC.",Fintech,2026-06-18,3.3,3.335,3.38,3.58,3.485,26740.6,28632.533333333333,1.0707513419045696,2.4242424242424265,8.484848484848492,5.606060606060608,2.4242424242424265,8.484848484848492,5.606060606060608,GRADUAL,False,False
No,BRBS,"BLUE RIDGE BANKSHARES, INC.",Fintech,2026-06-18,3.3,3.335,3.38,3.58,3.485,26740.6,28632.533333333333,1.0707513419045696,2.4242424242424265,8.484848484848492,5.606060606060608,2.4242424242424265,8.484848484848492,5.606060606060608,GRADUAL,False,False
No,KYTX,"Kyverna Therapeutics, Inc.",Biotech,2026-05-18,9.495,8.54,8.715,8.63,7.835,44254.1,37322.8,0.8433749641276177,-8.214849921011053,-9.110057925223785,-17.482885729331223,8.214849921011053,9.110057925223785,17.482885729331223,GRADUAL,False,False
No,NMRA,"Neumora Therapeutics, Inc.",Biotech,2026-05-07,2.32,1.94,1.815,1.965,1.85,62666.0,51096.066666666666,0.8153714401217034,-21.76724137931034,-15.301724137931025,-20.258620689655164,21.76724137931034,15.301724137931025,20.258620689655164,INSTANT,False,False
No,AKBA,"Akebia Therapeutics, Inc.",Biotech,2026-05-07,1.485,1.185,1.17,1.14,1.025,93492.6,239527.4,2.5619931417031934,-21.21212121212122,-23.232323232323242,-30.976430976430986,21.21212121212122,23.232323232323242,30.976430976430986,INSTANT,False,True
No,CMPX,"Compass Therapeutics, Inc.",Biotech,2026-07-01,2.18,2.17,2.27,2.31,2.125,210181.3,167799.93333333332,0.7983580524686703,4.1284403669724705,5.963302752293573,-2.522935779816521,4.1284403669724705,5.963302752293573,2.522935779816521,FLAT/NONE,False,False
No,AGEN,AGENUS INC,Biotech,2026-06-23,3.05,3.085,2.92,3.04,5.01,31970.0,198652.93333333332,6.213729538108643,-4.26229508196721,-0.32786885245900943,64.26229508196721,4.26229508196721,0.32786885245900943,64.26229508196721,GRADUAL,True,True
