group,ticker,company,industry,filing_date,p_m1,p_0,p_p1,p_p5,p_p15,avg_vol_before,avg_vol_after,vol_ratio,pct_1d,pct_5d,pct_15d,abs_1d,abs_5d,abs_15d,classification,flagged,vol_spike_2x
Yes,PZG,Paramount Gold Nevada Corp.,Mining,2026-06-02,1.37,1.39,1.325,1.15,1.085,19576.5,24545.733333333334,1.2538366578976494,-3.2846715328467257,-16.058394160583955,-20.802919708029204,3.2846715328467257,16.058394160583955,20.802919708029204,GRADUAL,False,False
Yes,NEXM,NexMetals Mining Corp.,Mining,2026-06-25,2.46,2.46,2.28,2.59,2.2,54.3,106.46666666666667,1.9607120933087785,-7.317073170731714,5.2845528455284505,-10.569105691056901,7.317073170731714,5.2845528455284505,10.569105691056901,INSTANT,False,False
Yes,NEXM,NexMetals Mining Corp.,Mining,2026-06-02,2.76,2.62,2.64,2.455,2.46,278.6,77.6,0.2785355348169418,-4.34782608695651,-11.05072463768115,-10.8695652173913,4.34782608695651,11.05072463768115,10.8695652173913,GRADUAL,False,False
Yes,USAU,U.S. GOLD CORP.,Mining,2026-05-15,16.99,15.89,15.43,15.48,13.97,5956.6,7176.133333333333,1.2047364827810048,-9.181871689228952,-8.887580929958789,-17.77516185991759,9.181871689228952,8.887580929958789,17.77516185991759,GRADUAL,False,False
Yes,SBMT,SILVER BOW MINING CORP.,Mining,2026-06-09,8.235,7.96,7.38,9.0,6.94,4109.7,10656.133333333333,2.592922435538685,-10.38251366120218,9.289617486338805,-15.72556162720096,10.38251366120218,9.289617486338805,15.72556162720096,GRADUAL,True,True
Yes,IDR,"Idaho Strategic Resources, Inc.",Mining,2026-06-08,32.2,32.73,32.29,38.4,32.82,7009.3,10480.133333333333,1.4951754573685436,0.2795031055900506,19.254658385093155,1.9254658385093086,0.2795031055900506,19.254658385093155,1.9254658385093086,FLAT/NONE,False,False
Yes,OPRT,Oportun Financial Corp,Fintech,2026-06-24,5.535,5.66,5.7,5.91,6.45,47355.3,38534.53333333333,0.8137322186393778,2.9810298102981037,6.775067750677506,16.53116531165312,2.9810298102981037,6.775067750677506,16.53116531165312,GRADUAL,False,False
Yes,OPRT,Oportun Financial Corp,Fintech,2026-06-18,5.01,5.15,5.37,5.73,5.705,26644.6,48395.066666666666,1.8163180031476047,7.185628742514977,14.371257485029954,13.872255489021962,7.185628742514977,14.371257485029954,13.872255489021962,GRADUAL,False,False
Yes,LPRO,Open Lending Corp,Fintech,2026-06-16,2.11,3.11,3.105,3.12,3.135,60648.1,267936.8,4.417892728708731,47.15639810426541,47.86729857819906,48.578199052132696,47.15639810426541,47.86729857819906,48.578199052132696,INSTANT,False,True
Yes,RM,Regional Management Corp.,Fintech,2026-05-04,34.895,33.71,34.85,34.51,35.875,1850.8,1563.4,0.8447157985735899,-0.12895830348187906,-1.1033099297893827,2.808425275827473,0.12895830348187906,1.1033099297893827,2.808425275827473,FLAT/NONE,False,False
Yes,USIO,"Usio, Inc.",Fintech,2026-06-17,1.8,1.695,1.8,2.2,2.23,1548.2,1647.9333333333334,1.064418895060931,0.0,22.22222222222223,23.888888888888886,0.0,22.22222222222223,23.888888888888886,GRADUAL,False,False
Yes,SEVN,Seven Hills Realty Trust,Fintech,2026-06-10,8.535,8.5,8.41,8.12,8.575,3402.8,6214.066666666667,1.8261627679166175,-1.4645577035735209,-4.8623315758641,0.46865846514351667,1.4645577035735209,4.8623315758641,0.46865846514351667,FLAT/NONE,False,False
Yes,CZNC,CITIZENS & NORTHERN CORP,Fintech,2026-05-11,21.605,21.23,20.905,20.5,20.74,738.0,1567.9333333333334,2.1245709123757903,-3.239990742883588,-5.114556815551957,-4.003702846563304,3.239990742883588,5.114556815551957,4.003702846563304,INSTANT,False,True
Yes,GBFH,GBank Financial Holdings Inc.,Fintech,2026-05-19,28.2,27.47,27.9,29.28,32.035,1263.3,2647.8,2.0959392068392306,-1.0638297872340452,3.82978723404256,13.599290780141834,1.0638297872340452,3.82978723404256,13.599290780141834,GRADUAL,True,True
Yes,NKSH,NATIONAL BANKSHARES INC,Fintech,2026-07-01,36.29,36.29,36.6,35.46,35.79,795.1,625.5333333333333,0.7867354211210329,0.854229815376143,-2.2871314411683614,-1.3777900248002204,0.854229815376143,2.2871314411683614,1.3777900248002204,FLAT/NONE,False,False
Yes,VYGR,"Voyager Therapeutics, Inc.",Biotech,2026-06-01,3.87,3.79,3.59,3.375,3.685,37837.8,33642.6,0.8891267462696033,-7.235142118863055,-12.790697674418608,-4.780361757105944,7.235142118863055,12.790697674418608,4.780361757105944,INSTANT,False,False
Yes,CRBU,"Caribou Biosciences, Inc.",Biotech,2026-06-11,1.785,1.66,1.595,1.64,1.825,75213.4,130558.46666666666,1.7358405106891415,-10.64425770308123,-8.12324929971989,2.2408963585434196,10.64425770308123,8.12324929971989,2.2408963585434196,FLAT/NONE,False,False
Yes,AQST,"Aquestive Therapeutics, Inc.",Biotech,2026-05-13,4.18,4.125,4.72,4.18,4.15,64008.5,96296.06666666667,1.5044262350573232,12.918660287081341,0.0,-0.7177033492822814,12.918660287081341,0.0,0.7177033492822814,FLAT/NONE,False,False
Yes,AKBA,"Akebia Therapeutics, Inc.",Biotech,2026-06-30,1.11,1.13,1.205,1.42,1.27,219290.0,223878.6,1.0209248027725843,8.558558558558556,27.92792792792791,14.414414414414406,8.558558558558556,27.92792792792791,14.414414414414406,GRADUAL,False,False
